1_x	1_y
100.614264	80.840264
99.085696	80.585513
96.792845	77.019003
95.519038	76.509501
93.990470	74.216744
92.207141	72.942990
89.914289	70.650234
89.914289	69.376480
86.857154	68.357477
86.602392	66.064720
83.800018	64.790966
83.035734	62.752960
80.997643	62.498209
79.214314	60.460203
77.940508	60.714954
76.411940	59.441200
74.373849	58.167446
72.845282	57.148443
72.080998	56.129440
69.023862	54.855687
68.769101	52.562930
66.731010	51.798677
65.966726	50.270173
62.909591	48.741668
61.890545	45.684659
60.361978	44.920407
59.088171	42.627650
57.050081	41.863398
55.776274	39.570641
53.992945	38.296887
51.954854	36.768383
51.445332	34.475626
48.897719	34.985127
47.623912	32.437620
45.840583	32.947121
44.821538	31.163866
42.783447	31.673367
41.509641	31.163866
39.981073	30.909115
37.688221	30.909115
37.178699	30.144863
35.140608	29.125860
34.121563	27.852106
31.319189	26.833103
31.064427	25.304599
28.262053	23.776094
28.007292	20.973836
24.950156	20.973836
23.676349	17.407325
22.657304	16.643073
20.873975	12.821811
19.345407	13.076562
17.816839	10.019553
15.778749	8.236298
14.504942	6.707793
14.250181	6.198292
10.428761	5.688790
10.174000	3.396033
8.390671	4.669787
6.607342	2.886532
5.078774	3.905535
3.550206	2.886532
2.021638	3.650784
0.238309	2.886532
-0.525975	3.141282
-3.328349	2.886532
-3.583111	2.886532
-6.385485	3.396033
-6.640246	1.612778
-9.442621	2.377030
-9.442621	0.339024
-12.244995	1.103276
-13.773563	-1.698982
-15.047369	-1.444231
-16.575937	-4.246490
-17.849744	-4.755991
-19.887834	-7.048748
-21.416402	-8.322502
-23.454493	-10.615259
-23.709254	-12.143763
-26.766390	-13.927018
-27.530673	-16.219775
-29.568764	-16.984028
-29.823525	-19.531535
-32.371138	-19.531535
-33.644945	-21.569541
-35.683035	-22.079043
-36.702080	-23.352797
-38.740171	-23.098046
-40.013977	-24.881301
-42.052068	-24.371800
-43.071113	-25.390803
-44.344920	-25.900304
-46.637771	-26.664556
-47.147294	-27.428809
-50.204430	-28.702562
-50.204430	-30.231067
-53.261565	-29.976316
-53.771088	-32.269073
-55.809179	-32.778575
-57.082985	-34.816581
-59.121076	-35.326082
-60.394882	-37.109338
-61.668689	-39.147344
-64.216302	-41.185350
-64.216302	-42.459103
-67.018676	-44.242359
-67.528199	-46.535116
-70.075812	-47.044617
-70.330573	-49.592125
-72.623425	-49.082623
-74.151993	-51.884882
-75.680561	-51.884882
-77.463890	-52.649134
-78.737696	-54.177638
-81.030548	-55.451392
-81.030548	-56.725146
-84.597206	-58.253651
-84.597206	-60.291657
-87.399581	-60.291657
-87.654342	-62.839164
-89.692432	-63.603416
-91.475762	-65.386672
-92.749568	-66.915176
-95.297181	-68.953182
-95.042420	-69.972185
-98.354317	-71.755441
-98.354317	-74.048198
-101.411453	-75.576702
-102.175736	-77.105207
-103.959066	-78.124210
-104.978111	-80.671717
-107.016201	-80.671717
-108.290008	-83.983477
-110.073337	-83.728726
-111.601905	-85.766733
-112.875711	-87.549988
-114.404279	-88.823742
-115.423324	-90.861748
-118.480460	-92.135502
-118.735221	-93.918757
-121.792357	-95.192511
-121.792357	-97.994769
-124.085209	-97.994769
-125.868538	-101.561280
-127.397106	-101.561280
-128.416151	-104.363538
-130.454242	-105.127790
-131.728048	-106.911046
-133.001855	-108.184799
-135.549468	-109.968055
-136.058990	-111.496559
-138.861365	-112.770313
-139.370887	-115.317821
-141.154216	-115.572571
-142.937546	-117.610577
-144.720875	-118.374830
-146.504204	-120.412836
