Time	UI (ID 01) / Voltage U	UI (ID 01) / Current I	UI (ID 02) / Voltage U	UI (ID 02) / Current I
t/s	U/V	I/A	U/V	I/A

0.78	0.0900630500	-0.001	0.0898203600	0.002
0.79	0.0900630500	-0.001	0.0898203600	-0.001
0.79	0.0900630500	0.002	0.0898203600	-0.004
0.80	0.1050736000	-0.001	0.1197605000	-0.004
0.80	0.1050736000	-0.001	0.1047904000	-0.004
0.81	0.1050736000	0.002	0.1047904000	-0.004
0.81	0.1050736000	-0.001	0.1047904000	0.002
0.81	0.1050736000	-0.001	0.1047904000	-0.001
0.82	0.1050736000	-0.001	0.1197605000	-0.001
0.82	0.1050736000	-0.001	0.1047904000	0.002
0.83	0.1050736000	-0.001	0.1047904000	-0.001
0.83	0.1050736000	-0.001	0.1047904000	-0.001
0.84	0.1200841000	0.002	0.0898203600	-0.004
0.85	0.1200841000	-0.001	0.1197605000	-0.001
0.85	0.1200841000	-0.001	0.1047904000	-0.004
0.86	0.1200841000	0.002	0.1197605000	-0.004
0.86	0.1200841000	-0.001	0.1197605000	-0.001
0.87	0.1050736000	-0.001	0.1197605000	-0.001
0.87	0.1350946000	0.002	0.1197605000	0.002
0.88	0.1350946000	-0.001	0.1197605000	0.002
0.88	0.1350946000	-0.001	0.1197605000	0.002
0.88	0.1050736000	0.002	0.1197605000	-0.001
0.89	0.1350946000	-0.001	0.1197605000	-0.004
0.89	0.1200841000	-0.001	0.1197605000	-0.001
0.90	0.1350946000	-0.001	0.1197605000	-0.004
0.90	0.1350946000	-0.001	0.1197605000	-0.004
0.91	0.1350946000	-0.001	0.1197605000	-0.004
0.92	0.1350946000	0.002	0.1497006000	-0.004
0.92	0.1350946000	-0.001	0.1347305000	0.002
0.93	0.1350946000	-0.001	0.1347305000	-0.001
0.93	0.1350946000	0.002	0.1347305000	-0.001
0.94	0.1350946000	0.002	0.1197605000	0.002
0.94	0.1350946000	-0.001	0.1347305000	-0.001
0.94	0.1350946000	0.002	0.1347305000	-0.001
0.95	0.1350946000	-0.001	0.1347305000	-0.001
0.95	0.1501051000	-0.001	0.1347305000	-0.004
0.96	0.1350946000	-0.001	0.1347305000	-0.004
0.96	0.1350946000	-0.001	0.1347305000	-0.001
0.97	0.1501051000	-0.001	0.1347305000	0.002
0.98	0.1350946000	0.002	0.1497006000	0.002
0.98	0.1350946000	-0.001	0.1347305000	0.002
0.99	0.1501051000	-0.001	0.1347305000	-0.001
0.99	0.1501051000	-0.001	0.1347305000	0.002
1.00	0.1501051000	0.002	0.1497006000	-0.001
1.00	0.1501051000	-0.001	0.1347305000	-0.001
1.00	0.1501051000	-0.001	0.1347305000	-0.004
1.01	0.1501051000	-0.001	0.1347305000	-0.001
1.01	0.1501051000	-0.001	0.1497006000	-0.004
1.02	0.1501051000	0.002	0.1347305000	-0.001
1.02	0.1501051000	0.002	0.1347305000	-0.004
1.03	0.1501051000	-0.001	0.1497006000	0.002
1.03	0.1651156000	-0.001	0.1646707000	-0.001
1.04	0.1651156000	-0.001	0.1497006000	0.002
1.04	0.1501051000	-0.001	0.1347305000	0.002
1.05	0.1501051000	-0.001	0.1347305000	0.002
1.05	0.1501051000	-0.001	0.1347305000	0.002
1.06	0.1651156000	-0.001	0.1497006000	-0.004
1.07	0.1501051000	-0.001	0.1347305000	-0.001
1.07	0.1501051000	0.002	0.1347305000	-0.001
1.08	0.1651156000	-0.001	0.1347305000	-0.004
1.08	0.1501051000	-0.001	0.1197605000	-0.004
1.09	0.1651156000	-0.001	0.1347305000	0.002
1.09	0.1501051000	-0.001	0.1347305000	-0.001
1.10	0.1501051000	-0.001	0.1347305000	-0.001
1.10	0.1501051000	0.002	0.1347305000	0.002
1.11	0.1501051000	-0.001	0.1347305000	-0.001
1.11	0.1501051000	-0.001	0.1347305000	0.002
1.12	0.1501051000	-0.001	0.1347305000	-0.001
1.12	0.1651156000	-0.001	0.1197605000	-0.004
1.13	0.1501051000	0.002	0.1347305000	-0.001
1.13	0.1651156000	-0.001	0.1197605000	-0.004
1.13	0.1501051000	-0.001	0.1347305000	-0.001
1.14	0.1501051000	-0.001	0.1197605000	-0.001
1.14	0.1501051000	0.002	0.1347305000	0.002
1.15	0.1501051000	-0.001	0.1197605000	0.002
1.15	0.1501051000	-0.004	0.1497006000	-0.001
1.16	0.1501051000	-0.001	0.1197605000	0.002
1.16	0.1501051000	-0.001	0.1197605000	0.002
1.17	0.1350946000	-0.001	0.1197605000	-0.001
1.17	0.1350946000	0.002	0.1047904000	-0.004
1.18	0.1350946000	-0.001	0.1197605000	-0.001
1.18	0.1501051000	-0.001	0.1197605000	-0.004
1.19	0.1501051000	0.002	0.1047904000	-0.004
1.20	0.1350946000	-0.001	0.1197605000	-0.001
1.20	0.1350946000	-0.001	0.1047904000	-0.001
1.21	0.1350946000	-0.001	0.1197605000	0.002
1.21	0.1350946000	-0.001	0.1047904000	0.002
1.22	0.1350946000	-0.001	0.1197605000	0.002
1.22	0.1350946000	-0.001	0.1047904000	-0.001
1.23	0.1350946000	-0.001	0.1047904000	-0.001
1.23	0.1350946000	-0.001	0.1047904000	-0.001
1.24	0.1200841000	-0.001	0.1047904000	-0.001
1.24	0.1350946000	-0.001	0.1047904000	-0.004
1.25	0.1350946000	-0.001	0.1047904000	-0.004
1.25	0.1350946000	-0.001	0.0898203600	-0.004
1.25	0.1350946000	-0.001	0.1047904000	-0.004
1.26	0.1350946000	-0.001	0.1047904000	0.002
1.26	0.1350946000	-0.001	0.0898203600	-0.001
1.27	0.1350946000	-0.001	0.0898203600	-0.001
1.27	0.1350946000	-0.001	0.1047904000	-0.001
1.28	0.1350946000	-0.001	0.1047904000	0.002
1.28	0.1350946000	-0.001	0.0898203600	-0.001
1.29	0.1350946000	-0.001	0.0898203600	-0.001
1.29	0.1350946000	-0.001	0.0898203600	-0.004
1.30	0.1350946000	-0.001	0.0898203600	-0.001
1.30	0.1350946000	-0.001	0.0898203600	-0.004
1.31	0.1350946000	-0.001	0.0748503000	-0.001
1.32	0.1350946000	-0.001	0.0748503000	0.002
1.32	0.1350946000	-0.001	0.0748503000	-0.001
1.33	0.1350946000	-0.001	0.0748503000	0.002
1.33	0.1350946000	-0.001	0.0748503000	0.002
1.34	0.1350946000	-0.001	0.0748503000	0.002
1.34	0.1350946000	-0.001	0.0748503000	0.002
1.35	0.1350946000	-0.001	0.0598802400	-0.001
1.35	0.1350946000	-0.001	0.0598802400	-0.001
1.36	0.1350946000	-0.001	0.0598802400	-0.001
1.36	0.1350946000	-0.001	0.0598802400	-0.004
1.37	0.1350946000	-0.001	0.0598802400	-0.001
1.37	0.1350946000	-0.001	0.0598802400	-0.004
