NO polarizer: t (s)	NO polarizer: int (a.u.)	YES polarizer: t (s)	YES polarizer: int (a.u.)	
26.055406	7.667138	29.324714	7.790972
26.102438	7.667138	29.372763	7.790972
26.154475	7.660042	29.425786	7.817685
26.210531	7.660042	29.474820	7.817685
26.258551	7.658366	29.541868	7.817685
26.298594	7.658366	29.611917	7.840840
26.353632	7.658366	29.674961	7.840840
26.401650	7.659809	29.720994	7.854503
26.454688	7.659809	29.774031	7.854503
26.517731	7.659809	29.827069	7.854503
26.575776	7.679855	29.886110	7.879839
26.634818	7.679855	29.940153	7.879839
26.682851	7.686629	29.995188	7.915571
26.734889	7.686629	30.059233	7.915571
26.786922	7.686629	30.124279	7.905399
26.831954	7.685604	30.182320	7.905399
26.885994	7.685604	30.239360	7.905399
26.933028	7.686758	30.302405	7.951263
26.987068	7.686758	30.356442	7.951263
27.053114	7.686758	30.412483	7.971434
27.112152	7.685052	30.476528	7.971434
27.167191	7.685052	30.529565	7.979515
27.222229	7.678676	30.591609	7.979515
27.276268	7.678676	30.644646	7.999065
27.329304	7.678676	30.710693	7.999065
27.378341	7.695165	30.775757	7.999065
27.434379	7.695165	30.823772	8.043218
27.483417	7.701449	30.885819	8.043218
27.540454	7.701449	30.933852	8.059582
27.584485	7.697455	30.985888	8.059582
27.633523	7.697455	31.035922	8.111605
27.714580	7.697455	31.094969	8.111605
27.782625	7.699523	31.155007	8.111605
27.827657	7.699523	31.214067	8.125685
27.875691	7.611768	31.295108	8.125685
27.924726	7.611768	31.342142	8.139536
27.972759	7.617140	31.403182	8.139536
28.022795	7.617140	31.455219	8.199005
28.081840	7.617140	31.525269	8.199005
28.138879	7.617140	31.578306	8.229508
28.202922	7.610379	31.642351	8.229508
28.254959	7.610379	31.693387	8.229508
28.303993	7.620821	31.754431	8.274058
28.351027	7.620821	31.808468	8.274058
28.401062	7.605225	31.873514	8.291625
28.448095	7.605225	31.929556	8.291625
28.497131	7.605225	31.983592	8.329398
28.546180	7.609083	32.045636	8.329398
28.607212	7.609083	32.098674	8.364673
28.670256	7.609083	32.162719	8.364673
28.720292	7.613400	32.227764	8.364673
28.772327	7.613400	32.275798	8.518029
28.822360	7.619013	32.329836	8.518029
28.877398	7.619013	32.378871	8.659823
28.927435	7.618110	32.436915	8.659823
28.980472	7.618110	32.497958	8.779175
29.066534	7.618110	32.566003	8.779175
29.115571	7.605625	32.641056	8.779175
29.165603	7.605625	32.691092	8.874147
29.214639	7.611873	32.742128	8.874147
29.267677	7.611873	32.797166	8.937338
29.318710	7.611873	32.868220	8.937338
29.371747	7.604206	32.927261	9.008471
29.434792	7.604206	32.984302	9.008471
29.480826	7.614455	33.037340	9.093944
29.550889	7.614455	33.103384	9.093944
29.594906	7.606341	33.159423	9.093944
29.642940	7.606341	33.221467	9.143387
29.711988	7.606341	33.271505	9.143387
29.752016	7.613240	33.325540	9.239185
29.805054	7.613240	33.388587	9.239185
29.857091	7.597333	33.448627	9.337113
29.908126	7.597333	33.512672	9.337113
29.964166	7.597333	33.571714	9.337113
30.015202	7.634454	33.633757	9.381167
30.064237	7.634454	33.682793	9.381167
30.118275	7.634454	33.733830	9.496837
30.162307	7.634290	33.800879	9.496837
30.228353	7.634290	33.848912	9.555857
30.273389	7.628027	33.903951	9.555857
30.315430	7.628027	33.960991	9.555857
30.365449	7.628027	34.013027	9.581406
30.411483	7.605404	34.070065	9.581406
30.466521	7.605404	34.123106	9.674130
30.532568	7.605404	34.177145	9.674130
30.580603	7.626570	34.242190	9.674130
30.634640	7.626570	34.298226	9.750282
30.683674	7.644403	34.358269	9.750282
30.730708	7.644403	34.410306	9.795772
30.772737	7.649309	34.470348	9.795772
30.824774	7.649309	34.519383	9.854252
30.882815	7.649309	34.585431	9.854252
30.935853	7.650139	34.645473	9.854252
30.989894	7.650139	34.692505	9.921640
31.051934	7.650139	34.751563	9.921640
31.094968	7.629013	34.802586	9.939182
31.150008	7.629013	34.865628	9.939182
31.198038	7.637378	34.918665	9.992603
31.255081	7.637378	34.969704	9.992603
31.317122	7.637378	35.030747	9.992603
31.369159	7.639007	35.086784	9.932055
31.423196	7.639007	35.141823	9.932055
31.472231	7.644954	35.196862	9.851427
31.532276	7.644954	35.260909	9.851427
31.575304	7.644954	35.328958	9.909665
31.621337	7.647165	35.385997	9.909665
31.678377	7.647165	35.448042	9.894486
31.734416	7.638265	35.503081	9.894486
31.787471	7.638265	35.556116	9.894486
31.848497	7.638265	35.610157	9.837270
31.896531	7.624253	35.680203	9.837270
31.955573	7.624253	35.727236	9.852262
32.003607	7.651273	35.781275	9.852262
32.049639	7.651273	35.830309	9.827900
32.105679	7.651273	35.878343	9.827900
32.168723	7.648188	35.933383	9.827900
32.220760	7.648188	35.983418	9.785599
32.268795	7.657695	36.054468	9.785599
32.322849	7.657695	36.103503	9.781185
32.377871	7.657695	36.153538	9.781185
32.427907	7.659877	36.212579	9.781185
32.485948	7.659877	36.266618	9.771926
32.542988	7.647118	36.342672	9.771926
32.597029	7.647118	36.392709	9.723370
32.647061	7.647118	36.458754	9.723370
32.695095	7.674628	36.511811	9.737359
32.755137	7.674628	36.581840	9.737359
32.815183	7.671215	36.652890	9.737359
32.864219	7.671215	36.712933	9.712248
32.927259	7.671215	36.773976	9.712248
32.988302	7.666060	36.834038	9.692388
33.044342	7.666060	36.892062	9.692388
33.093377	7.663778	36.945097	9.714944
33.148416	7.663778	37.007140	9.714944
33.197450	7.674198	37.076190	9.737980
33.247487	7.674198	37.129227	9.737980
33.307528	7.674198	37.183268	9.741521
33.351560	7.688850	37.250313	9.741521
33.405599	7.688850	37.305368	9.807088
33.458634	7.678001	37.363395	9.807088
33.516675	7.678001	37.433444	9.807088
33.575720	7.678001	37.489480	9.932529
33.623755	7.692247	37.545521	9.932529
33.683810	7.692247	37.601561	7.264173
33.738835	7.683870	37.687621	7.264173
33.791874	7.683870	37.732653	7.209025
33.855917	7.683870	37.789711	7.209025
33.908956	7.699743	37.843734	7.184153
33.955986	7.699743	37.899770	7.184153
34.007022	7.702288	37.956814	7.184153
34.056056	7.702288	38.014852	7.163010
34.119102	7.702288	38.065889	7.163010
34.164133	7.707941	38.109937	7.142306
34.217171	7.707941	38.176968	7.142306
34.270211	7.716450	38.251019	7.142306
34.320247	7.716450	38.312065	7.119017
34.380290	7.716450	38.372108	7.119017
34.429324	7.704582	38.444155	7.131615
34.485363	7.704582	38.492190	7.131615
34.539401	7.703748	38.544243	7.166391
34.598445	7.703748	38.601266	7.166391
34.655483	7.703748	38.651302	7.074709
34.704518	7.736380	38.711344	7.074709
34.760557	7.736380	38.773388	7.074709
34.809605	7.724182	38.833451	7.050005
34.864627	7.724182	38.906485	7.050005
34.919666	7.724182	38.959519	7.074145
34.963697	7.727590	39.029585	7.074145
35.012732	7.727590	39.088614	7.125101
35.061768	7.714715	39.152659	7.125101
35.117806	7.714715	39.216720	7.178703
35.182852	7.714715	39.276743	7.178703
35.229886	7.723411	39.336786	7.260124
35.298934	7.723411	39.413840	7.260124
35.350975	7.740351	39.465878	7.301267
35.406010	7.740351	39.526920	7.301267
35.450041	7.740351	39.577957	7.392729
35.501078	7.749328	39.640000	7.392729
35.580133	7.749328	39.688038	7.392729
35.633172	7.743042	39.738070	7.456770
35.681205	7.743042	39.793111	7.456770
35.735242	7.743042	39.853153	7.486495
35.783278	7.733483	39.914195	7.486495
35.837315	7.733483	39.969235	7.598653
35.887350	7.742479	40.038301	7.598653
35.941390	7.742479	40.104328	7.598653
35.991424	7.774371	40.173377	7.650877
36.045462	7.774371	40.238423	7.650877
36.097498	7.774371	40.306472	7.736580
36.164546	7.742318	40.365513	7.736580
36.219584	7.742318	40.437564	7.816072
36.268620	7.771322	40.492606	7.816072
36.322658	7.771322	40.560651	7.866187
36.379698	7.771322	40.616706	7.866187
