1_x	1_y
-50.540732	5.179289
-50.285970	6.962544
-52.578833	6.198292
-52.833595	6.707793
-53.597883	5.943541
-54.362171	5.943541
-55.126458	6.198292
-56.145509	5.943541
-56.909796	7.217295
-58.183609	6.198292
-57.674084	7.472045
-59.712184	6.198292
-59.712184	7.217295
-61.750285	6.962544
-61.240760	7.726796
-63.533623	7.981547
-63.788385	6.453042
-64.297910	8.236298
-65.316960	6.707793
-66.336011	8.491048
-67.100298	7.981547
-67.100298	8.236298
-69.647924	8.491048
-68.883636	8.745799
-71.176499	9.510051
-70.412212	8.491048
-71.940787	10.019553
-72.705075	9.000550
-73.724125	10.529054
-74.743175	9.510051
-75.762225	9.764802
-77.036038	10.019553
-76.526513	10.274304
-78.309851	10.274304
-78.309851	10.783805
-80.347951	11.548058
-80.602714	10.783805
-81.621764	11.802808
-82.131289	10.783805
-83.150339	12.567061
-83.659864	11.548058
-83.914627	11.802808
-86.207490	12.057559
-85.697965	12.312310
-88.245590	12.567061
-87.481303	11.802808
-89.264640	12.567061
-90.793216	12.057559
-90.283691	13.586064
-92.576554	12.312310
-91.812266	13.076562
-94.105129	12.057559
-93.595604	13.076562
-95.378942	12.821811
-95.888467	13.076562
-96.907517	12.567061
-97.671805	12.821811
-97.926567	13.586064
-99.964668	12.057559
-100.219430	13.586064
-101.748006	12.567061
-101.238480	12.821811
-103.786106	12.821811
-103.021818	11.802808
-105.314681	13.840814
-105.569444	12.312310
-106.333732	13.076562
-107.352782	11.802808
-108.117069	13.331313
-109.645645	12.057559
-109.136120	12.567061
-109.390882	12.057559
-107.352782	12.057559
-107.607544	12.567061
-105.569444	12.567061
-105.059919	13.076562
-104.040869	11.802808
-103.021818	13.586064
-101.748006	13.076562
-100.983718	13.586064
-100.728955	12.567061
-98.436092	13.076562
-98.690855	12.821811
-96.397992	13.076562
-96.907517	13.586064
-95.124179	12.821811
-94.359892	13.840814
-93.340841	12.567061
-92.321791	13.840814
-91.302741	13.076562
-89.774166	12.821811
-90.028928	12.567061
-87.736065	12.821811
-88.245590	12.312310
-86.207490	11.802808
-85.697965	13.076562
-84.678915	11.802808
-83.914627	12.567061
-83.150339	11.038556
-82.131289	12.312310
-81.876526	11.548058
-79.583663	11.548058
-80.093189	10.783805
-77.800326	11.038556
-78.055088	10.274304
-76.526513	9.764802
-75.507463	10.783805
-74.997938	9.255301
-73.724125	10.529054
-72.959837	9.510051
-72.195549	9.255301
